qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ cpubench & ; iobench & ;
$ 5: 99666 KFLOP100T
5: 100663 KFLOP100T
					7: 30 IOP100T
5: 100663 KFLOP100T
5: 99666 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 101659 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 101659 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 101659 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 101659 KFLOP100T
					7: 33 IOP100T
5: 101659 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
5: 101659 KFLOP100T
					7: 33 IOP100T
5: 99666 KFLOP100T
5: 100663 KFLOP100T
					7: 33 IOP100T
5: 101659 KFLOP100T
5: 101659 KFLOP100T
					7: 33 IOP100T
5: 100663 KFLOP100T
